artist,track,id,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration
Taylor Swift,Paris,5tWxKWq1DSP1s9WQ5PWuqu,0.703,0.518,-10.501,0.103,2.89e-05,0.148,0.347,110.94,196259
Taylor Swift,High Infidelity,1SztNGCwEHJEVFx90E5g7D,0.571,0.547,-10.141,0.704,0.0,0.0877,0.768,175.933,231475
Taylor Swift,Glitch,7C0w28EsX0Um2FrZs9gso2,0.677,0.47,-9.65,0.314,0.0,0.11,0.347,140.881,148781
Taylor Swift,"Would've, Could've, Should've",4txojlesMFQZGWxwz2EeqB,0.485,0.846,-6.557,0.393,0.00115,0.124,0.548,157.918,260362
Taylor Swift,Dear Reader,10GRRCR5fctuOF4GFmATJI,0.674,0.39,-11.944,0.464,0.00122,0.116,0.151,107.891,225194
Taylor Swift,Hits Different,3xYJScVfxByb61dYHTwiby,0.666,0.786,-6.556,0.134,3.34e-06,0.265,0.261,106.02,234467
Taylor Swift,Snow On The Beach (feat. More Lana Del Rey),4zmKGsrXjLmljb5fTaBTot,0.664,0.399,-10.997,0.797,3.13e-06,0.105,0.265,109.937,229943
Taylor Swift,Karma (feat. Ice Spice),4i6cwNY6oIUU2XZxPIw82Y,0.615,0.626,-6.548,0.0574,0.0,0.596,0.0705,89.984,201493
Taylor Swift,Lavender Haze,4g2c7NoTWAOSYDy44l9nub,0.735,0.449,-10.56,0.23,0.00126,0.132,0.0955,97.05,202396
Taylor Swift,Maroon,199E1RRrVmVTQqBXih5qRC,0.655,0.384,-8.29,0.0634,1.45e-06,0.0973,0.0384,108.058,218271
Taylor Swift,Anti-Hero,02Zkkf2zMkwRGQjZ7T4p8f,0.633,0.648,-6.645,0.121,2.62e-06,0.161,0.49,96.888,200690
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),6ADDIJxxqzM9LMpm78yzQG,0.663,0.321,-13.527,0.701,0.000598,0.107,0.153,110.021,256124
Taylor Swift,"You're On Your Own, Kid",7gVWKBcfIW93YxNBi3ApIE,0.696,0.39,-10.331,0.447,1.55e-05,0.125,0.395,120.032,194207
Taylor Swift,Midnight Rain,6Nl7KyvjkFncGsjB49SxLl,0.604,0.375,-11.637,0.71,5.87e-05,0.116,0.203,137.651,174783
Taylor Swift,Question...?,6C7OF1Jal7YkyjzyUG8vkK,0.654,0.51,-8.767,0.206,0.0,0.249,0.105,108.874,210557
Taylor Swift,Vigilante Shit,5yeuXkukVGuix3vmLu2BPJ,0.872,0.267,-10.764,0.166,2.18e-05,0.123,0.168,79.964,164801
Taylor Swift,Bejeweled,0jvo9CjnbR0lYUDTSNTMiu,0.687,0.551,-9.202,0.0593,0.000143,0.09,0.443,163.994,194166
Taylor Swift,Labyrinth,43q586vP8gGkYypKoSddhl,0.48,0.295,-15.512,0.797,0.333,0.12,0.132,110.018,247962
Taylor Swift,Karma,5oqDgw5VGBln5dSIOPWyBq,0.64,0.619,-7.108,0.062,0.0,0.475,0.121,90.008,204852
Taylor Swift,Sweet Nothing,3zmwONxswBAzGwExPugSLN,0.336,0.161,-14.973,0.968,0.00011,0.115,0.407,176.48,188497
Taylor Swift,Mastermind,56hioFjQ0DXrdn04hZcFgG,0.66,0.343,-14.132,0.565,0.00134,0.0922,0.137,125.96,191039
Taylor Swift,The Great War,3UMrglJeju5yWyYIW6o99b,0.57,0.747,-8.93,0.199,2.32e-05,0.0854,0.574,96.016,240356
Taylor Swift,Bigger Than The Whole Sky,0BiqmkasE5FdrChwKfVp8X,0.42,0.22,-12.584,0.841,0.00131,0.114,0.0705,165.564,218503
Taylor Swift,Paris,7712gjoih4QoDbXpljEk21,0.703,0.518,-10.501,0.103,2.89e-05,0.148,0.347,110.94,196259
Taylor Swift,High Infidelity,5kiZGSxgqPdv6rbqL9THdd,0.571,0.547,-10.141,0.704,0.0,0.0877,0.768,175.933,231475
Taylor Swift,Glitch,6wAFvJPpTZVirBKGZ4EnMW,0.677,0.47,-9.65,0.314,0.0,0.11,0.347,140.881,148781
Taylor Swift,"Would've, Could've, Should've",0aV5uARAknQgYhBaK944FP,0.485,0.846,-6.557,0.393,0.00115,0.124,0.548,157.918,260362
